15 1902 5665
3 108 -0.255471 -0.277796
0 138 -0.216351 -0.249675
3 138 -0.249766 -0.253547
0 139 -0.0513154 0.196586
3 139 -0.0857488 0.169281
0 140 -0.25327 -0.296625
3 140 -0.284077 -0.295157
0 141 -0.220996 -0.281953
3 141 -0.25327 -0.281953
0 107 -0.226864 -0.277551
0 141 -0.220996 -0.283127
0 142 -0.23684 -0.279605
3 142 -0.269407 -0.280486
0 143 -0.226278 -0.277845
3 143 -0.259725 -0.277845
3 124 -0.254444 -0.277845
0 144 -0.0600977 0.178501
3 144 -0.0953249 0.150126
0 145 -0.257401 -0.293901
3 145 -0.288243 -0.292634
0 146 0.133589 0.0123573
3 146 0.219169 0.101598
0 147 0.461314 -0.208717
4 147 0.240859 -0.0430502
0 148 0.0721556 -0.0304163
4 148 0.241103 -0.0428057
0 147 0.460906 -0.208106
0 148 0.303205 -0.0577218
0 148 0.314208 -0.0442728
0 148 0.0721556 -0.0308239
0 148 0.0966053 0.112224
0 148 0.314452 -0.0442728
0 148 0.079735 0.0129465
0 148 0.0988058 0.117115
0 149 -0.0449585 0.00385008
4 149 0.248321 -0.0391084
0 147 0.0853096 0.0584285
0 147 0.0888304 0.0584285
0 148 0.0976323 0.113007
0 148 0.0993927 0.118289
0 147 0.0877742 0.0580764
0 148 0.0873518 0.058499
0 147 0.0721421 0.0635695
0 148 0.0721421 0.0640765
0 150 -0.0877863 -0.293283
5 150 0.290981 -0.252121
0 151 0.424639 -0.249472
5 151 0.290981 -0.25261
0 152 -0.0439805 0.048036
5 152 0.291162 -0.252323
0 150 -0.08799 -0.29369
0 153 0.421787 -0.24723
5 153 0.291274 -0.253197
0 154 0.421542 -0.246741
5 154 0.29057 -0.252492
5 29 0.000517945 0.299043
0 154 0.142815 0.291707
0 152 -0.104811 -0.318339
0 154 0.430344 -0.251436
0 154 0.425063 -0.249675
0 153 0.270149 -0.159885
0 154 0.266629 -0.156364
0 154 0.344085 0.149979
0 154 -0.0727724 -0.275732
0 154 0.423655 -0.25038
0 154 0.26522 -0.155308
0 151 0.343381 0.151036
0 154 0.449849 -0.260943
0 155 -0.00137136 -0.0758695
5 155 0.102718 -0.0968461
0 154 0.325637 0.139627
0 154 0.343381 0.152303
0 152 0.425007 -0.249281
0 156 0.342874 0.152303
